"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.47226492","92.68919283","88.55992924","89.62688627","85.23454669","91.76853664","83.12492967","72.31282097","68.69883609","73.25510519","65.43003593","67.12525595","63.87641185","","","",
"Angola","AGO","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.25608482","21.07055968","28.03511268","42.80644778","22.55628073","22.52131246","38.45271121","40.04743331","42.26876367","38.26880645","38.60118721","22.72465616","26.94336491","19.68275516","29.44872632","27.75425643","24.99214943","23.97741694","18.58781139","23.96154759","","","",
"Albania","ALB","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.03389519","76.45072572","73.18078438","69.76021656","63.38369617","63.81917269","61.6885918","64.07475438","60.44117915","53.81305611","52.30130855","51.82090219","52.48919192","51.67033199","50.914223","53.4075251","49.98561064","50.89410431","49.69555747","49.93165101","","","",
"Andorra","AND","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.44228194","21.21965649","20.96156389","16.48144539","22.28164613","22.08389248","21.875","22.01834862","22.34446814","22.62750723","24.59432925","24.0041788","20.03340565","19.25077264","18.48650001","15.94008813","19.23975305","17.30853731","11.28880166","15.94330347","","","",
"Arab World","ARB","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5328134992941","38.1806469350147","39.3175884012671","40.958641469278","38.7758743833308","36.5620374268883","34.3351656731818","35.8295306247322","34.7795395907534","34.7263597063743","33.9115742756917","33.4200370895137","34.3205621166483","34.362414503551","32.1494889946911","33.0994878334767","30.8819538134737","30.9082181245214","30.3972343560754","30.07453521331","","","",
"United Arab Emirates","ARE","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.93202001","14.30435655","15.28202278","21.65334952","21.89465992","21.93537638","15.08651453","28.04280416","27.45627125","30.40694665","30.13892277","29.7105041","28.87685761","25.1360156","16.10064438","17.94558652","16.88466948","16.73948232","17.14650195","17.80632795","","","",
"Argentina","ARG","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.97854978","29.76190476","28.79078695","29.0618387","28.59674257","29.0341061","29.42517656","29.82182167","31.0830899","31.07465606","29.88124341","29.05840881","25.68097005","22.60511593","20.12872578","21.99958497","23.02734772","26.86996102","30.18671766","30.72721234","","","",
"Armenia","ARM","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.23138507","69.367376","71.79346678","67.77170205","67.27838222","77.34854937","69.77567742","68.75067995","69.13352046","71.34811044","61.6467504","52.65454715","49.45282889","51.3983681","53.07837424","55.87217495","47.04559015","54.56981392","53.69198311","53.51333862","","","",
"American Samoa","ASM","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
